Jap Kanji,English
何 ,what 
あ ,a 
あなた ,you 
言 ,Word
行 ,Line
人 ,Man 
知 ,Knowledge
事 ,case 
彼女 ,she 
お前 ,You
話 ,Story 
来 ,Coming
分か ,Division
者 ,person 
聞 ,Hearing
死 ,death 
時 ,Time 
ああ ,ah 
殺 ,Murder
前 ,Before 
中 ,During 
達 ,Daiser
必要 ,need 
あの ,That
気 ,air 
大丈夫 ,Are you okay 
自分 ,myself 
持 ,Holding
本当 ,TRUE 
時間 ,Time
我々 ,we 
一 ,One
的 ,Intended
無 ,Nothing 
ありがとう ,thank you 
家 ,House 
会 ,Meeting
日 ,Day 
年 ,Year 
仕事 ,work 
手 ,hand 
一緒 ,together 
後 ,After
出来 ,Good
他 ,other 
入 ,Entering
電話 ,Telephone call
目 ,eye 
様 ,Mr 
分 ,Part
車 ,car 
所 ,Place
あんた ,You
度 ,Every time 
同じ ,same 
場所 ,place 
問題 ,Problem
子供 ,child 
愛 ,Love 
金 ,Money 
名前 ,name 
子 ,Child 
信 ,Religion
さあ ,here we go 
少し ,a bit 
使 ,Use
全て ,all 
世界 ,World
教え ,lesson 
通り ,street 
来る ,come 
上 ,Up 
入れ ,Get in 
人間 ,human 
行け ,go 
今日 ,today 
物 ,thing 
女 ,woman 
呼 ,Call
生き ,Life
あれ ,that 
じゃあ ,Then
止め ,Stop
心配 ,anxiety 
母 ,mother 
連れ ,Companion
関係 ,relationship 
外 ,Outside
家族 ,family 
起き ,Rising
意味 ,meaning 
神 ,God
警察 ,Police
力 ,Power 
最後 ,last 
作 ,Work
次 ,Next 
息子 ,son 
取 ,Take
全部 ,All
間 ,while 
書 ,book 
捜査 ,Investigation
起こ ,Ranging
回 ,times 
別 ,another 
情報 ,information 
理由 ,reason 
数 ,number 
一人 ,One person 
部屋 ,room 
以上 ,that's all 
人生 ,Life
急 ,Sudden 
食べ ,eat 
女性 ,woman 
続け ,continue 
事件 ,Case
始め ,start 
最初 ,first 
連絡 ,contact 
まあ ,oh dear 
調べ ,Investigation
安全 ,Safety
下さ ,Slapstick
楽し ,Pleasure
殺人 ,Murder
下 ,Subordinate
万 ,Ten thousand 
友達 ,friend 
約束 ,promise 
二 ,Two
結婚 ,Marriage
無理 ,Impossible 
感じ ,Feeling
得 ,Benefit
最高 ,Best
送 ,Sending
計画 ,plan 
仲間 ,fellow 
先 ,Precedence
可能 ,Possible 
あいつ ,that person 
あと ,After 
明日 ,tomorrow 
変わ ,Change
聞こえ ,Hear
確認 ,confirmation 
命 ,life 
着 ,Wearing
与え ,Giving
全員 ,All
動 ,Movement
理解 ,Understanding 
二人 ,Two persons 
開け ,open 
友人 ,friend 
機 ,Machine
不 ,Unprecedented
あげ ,Gain
離れ ,Farewell
戦 ,War
先生 ,Teacher
言え ,say 
質問 ,question 
置 ,Place
犯人 ,culprit 
受け ,Receiving
感 ,Feeling
第 ,First
あぁ ,Ahh 
伝え ,Conveyor
素晴らし ,Wonderful 
ドア ,Door
本 ,Book 
乗 ,Boarding
用 ,for 
感謝 ,Gratitude
正し ,Right
言葉 ,words 
大 ,Big 
立 ,Standing
写真 ,photograph 
２人 ,Two people
説明 ,explanation 
博士 ,Doctor
強 ,Strength
絶対 ,absolute 
座 ,Seat
国 ,Country 
向か ,Opposite
名 ,given name 
ある ,be 
野郎 ,Bogus
番 ,Rank
一番 ,number one 
重要 ,Important
状況 ,situation 
元気 ,fine 
水 ,water 
変え ,Change
十分 ,Enough
週間 ,week 
やあ ,Hi 
父親 ,Father
間違い ,error 
王 ,King
了解 ,roger that 
相手 ,partner 
員 ,Member
声 ,Voice
会え ,Meet
音 ,sound 
多く ,Many
消え ,vanish 
会社 ,company 
簡単 ,easy 
選 ,Election
残念 ,disappointing 
自由 ,freedom 
自身 ,Themselves
等 ,etc 
一体 ,Integral
人々 ,people 
報告 ,report 
読 ,Reading
過ぎ ,Over
通 ,Passage
アメリカ ,America 
元 ,Origin
命令 ,order 
高 ,High
体 ,Body
大統領 ,president 
月 ,Month 
警官 ,Police officer
語 ,Word
学校 ,School
対 ,versus 
決め ,Decision
真実 ,truth 
初めて ,first time 
口 ,Mouth
大変 ,hard 
要 ,Key
変 ,strange 
戦争 ,war 
学 ,Learning
あそこ ,over there 
武器 ,Weapon
店 ,shop 
母親 ,mother 
刑事 ,Criminal
気持ち ,feeling 
間違 ,mistake 
運 ,luck 
記録 ,record 
光 ,light 
手伝 ,help 
深 ,Deep
落ち着 ,Calmness
存在 ,Existence
実 ,fruit 
役 ,Role
病院 ,hospital 
住 ,Residence
責任 ,Responsibility
あっ ,Ah 
普通 ,Normally
行動 ,Behavior
大きな ,big 
監視 ,Monitoring
協力 ,cooperation 
多分 ,perhaps 
実際 ,actual 
足 ,feet 
地球 ,Earth
生活 ,Life
任せ ,leave to 
気分 ,feeling 
解決 ,Solution
